Day,Month,Year,Season,Average,Precipitation,New Snow,Snow Depth,Daylight
1,1,2002,0,5,0,0,6,241
2,1,2002,0,-0.5,T,0.1,6,245
3,1,2002,0,3,0.1,1.9,6,248
4,1,2002,0,3.5,0.05,1.5,8,252
5,1,2002,0,9,0,0,8,261
6,1,2002,0,5,T,T,8,266
7,1,2002,0,6,T,T,8,271
8,1,2002,0,17.5,T,T,8,275
9,1,2002,0,24.5,0,0,8,281
10,1,2002,0,16.5,0,0,8,286
11,1,2002,0,3,T,T,7,291
12,1,2002,0,-0.5,T,T,7,297
13,1,2002,0,-1.5,0,0,7,303
14,1,2002,0,16,T,T,7,308
15,1,2002,0,21,0.02,0.3,7,314
16,1,2002,0,17.5,0.01,0.3,7,320
17,1,2002,0,20,0.03,0.1,7,326
18,1,2002,0,20.5,T,0.1,7,332
19,1,2002,0,13.5,T,T,7,339
20,1,2002,0,13.5,0.09,1.9,7,345
21,1,2002,0,8.5,0.05,1.1,9,351
22,1,2002,0,-9,0.01,0.2,10,358
23,1,2002,0,-19.5,0.02,0.5,10,364
24,1,2002,0,-25.5,T,0.1,10,371
25,1,2002,0,-32.5,0,0,10,377
26,1,2002,0,-27,0,0,10,384
27,1,2002,0,-5.5,0.01,0.5,9,390
28,1,2002,0,-6,0.01,0.6,10,397
29,1,2002,0,4,T,0.1,10,404
30,1,2002,0,7.5,0.11,1.5,10,410
31,1,2002,0,-0.5,0.03,0.6,11,417
32,2,2002,0,-13,0,0,11,424
33,2,2002,0,-12.5,0,0,11,431
34,2,2002,0,-12,0,0,11,437
35,2,2002,0,10,0,0,11,444
36,2,2002,0,-1,0,0,11,451
37,2,2002,0,-8,0,0,11,458
38,2,2002,0,-6.5,0,0,11,465
39,2,2002,0,-8,T,T,11,471
40,2,2002,0,-11.5,0,0,11,478
41,2,2002,0,7.5,0.11,2.4,11,485
42,2,2002,0,3,T,T,13,492
43,2,2002,0,9,T,0.3,13,499
44,2,2002,0,5.5,T,0.1,13,506
45,2,2002,0,17.5,0,0,13,512
46,2,2002,0,6.5,0,0,12,519
47,2,2002,0,0.5,T,T,12,526
48,2,2002,0,-7.5,0,0,12,533
49,2,2002,0,-11.5,T,0.2,12,540
50,2,2002,0,-3,0.05,0.9,12,546
51,2,2002,0,-9,T,T,13,553
52,2,2002,0,-11.5,0,0,12,560
53,2,2002,0,-6.5,0,0,12,567
54,2,2002,0,2.5,0,0,12,574
55,2,2002,0,2.5,0,0,12,580
56,2,2002,0,4,0,0,12,587
57,2,2002,0,8,0,0,12,594
58,2,2002,0,7,0,0,12,601
59,2,2002,0,22.5,0.02,0.3,12,608
60,3,2002,0,16.5,0,0,12,614
61,3,2002,0,19,T,T,12,621
62,3,2002,0,9,T,0.1,12,628
63,3,2002,0,0,0,0,12,635
64,3,2002,0,6.5,0,0,12,641
65,3,2002,0,-1,0,0,11,648
66,3,2002,0,5,0,0,11,655
67,3,2002,0,8,0,0,11,662
68,3,2002,0,4,0,0,11,668
69,3,2002,0,5,0,0,11,675
70,3,2002,0,2.5,0,0,11,682
71,3,2002,0,7,0,0,11,689
72,3,2002,0,0.5,0,0,11,695
73,3,2002,0,5,0,0,11,702
74,3,2002,0,6.5,0,0,11,709
75,3,2002,1,13,0,0,11,716
76,3,2002,1,20.5,0,0,11,722
77,3,2002,1,14.5,0,0,11,729
78,3,2002,1,12,0,0,11,736
79,3,2002,1,15,0,0,11,742
80,3,2002,1,17,T,T,11,749
81,3,2002,1,19.5,0,0,11,756
82,3,2002,1,22.5,0,0,11,763
83,3,2002,1,21.5,0,0,11,769
84,3,2002,1,27.5,0,0,10,776
85,3,2002,1,24.5,0.05,0.6,10,783
86,3,2002,1,7,0.09,1.5,10,790
87,3,2002,1,7.5,T,T,12,796
